age spent time
75 1638 14
75 223 5
42 316 1
19 495 5
29 320 10
68 1642 15
67 122 8
23 1756 8
48 863 6
49 636 15
61 600 6
51 1352 4
25 988 1
20 1112 1
13 1541 15
29 1000 4
38 1536 3
43 1953 2
34 192 6
15 660 6
65 955 11
67 883 14
74 246 15
64 1203 6
31 1823 3
29 1708 6
60 1129 7
32 967 12
75 817 12
78 1735 7
30 295 5
37 1847 6
52 813 13
36 1221 11
62 1567 12
76 181 3
67 519 12
59 690 8
58 461 5
70 608 9
23 1655 10
71 323 7
11 1655 10
21 848 13
80 827 15
41 1146 6
74 791 13
56 1211 15
51 469 12
22 559 3
66 140 14
67 1979 5
42 1158 10
15 1636 7
40 715 15
28 118 1
37 1479 5
78 123 5
62 720 10
54 197 10
53 189 11
69 892 15
67 251 15
50 904 12
35 171 11
43 1407 7
61 915 2
74 1016 8
21 411 8
61 1349 14
63 562 4
40 1518 9
24 625 14
76 1339 11
36 631 7
35 1117 13
34 1942 6
66 1896 13
59 225 2
53 1077 14
29 1144 13
67 456 13
50 903 1
42 1642 9
79 408 13
51 1618 12
36 1511 6
72 1480 7
74 1546 3
25 442 4
70 164 11
70 815 5
54 1310 14
30 1777 7
79 1142 11
43 1379 4
59 1892 7
36 1621 14
37 1470 10
64 1762 8
